post_0_trial_start_ms,item,max_time,shuffle_1,text,trial type,post_0_trial_end_ms,post_0_trial_end_date,max time,shuffle 1,,repeat
,,,,,,,,,,,
1579174844581,0,,off,,start_experiment,1579174846016,Thu Jan 16 2020 11:40:46 GMT+0000 (Greenwich Mean Time),,,,
1579174846035,0,,,hi,instruct,1579174847045,Thu Jan 16 2020 11:40:47 GMT+0000 (Greenwich Mean Time),,off,,
