post_0_trial_start_ms,item,max_time,shuffle_1,text,trial type,post_0_trial_end_ms,post_0_trial_end_date,max time,shuffle 1,,repeat
,,,,,,,,,,,
1579174894174,0,,off,,start_experiment,1579174896982,Thu Jan 16 2020 11:41:36 GMT+0000 (Greenwich Mean Time),,,,
1579174896993,0,,,Your instructions for the stroop task here,instruct,1579174897933,Thu Jan 16 2020 11:41:37 GMT+0000 (Greenwich Mean Time),,off,,
