post_0_trial_start_ms,item,max_time,shuffle_1,text,trial type,cue,answer,starting_time_limit,,post_0_trial_end_ms,post_0_trial_end_date,response,max time,shuffle 1,repeat
,,,,,,,,,,,,,,,
1579194135018,0,,off,,start_experiment,O|U|R|P|G,GROUP,10000,,1579194136621,Thu Jan 16 2020 17:02:16 GMT+0000 (Greenwich Mean Time),,,,
1579194136630,2,,,Click on the letters to put them in the correct order,anagram_speedy,E|C|R|K|W,WRECK,10000,,1579194143878,Thu Jan 16 2020 17:02:23 GMT+0000 (Greenwich Mean Time),WRECK,user,trials,
1579194143886,3,,,Click on the letters to put them in the correct order,anagram_speedy,U|M|H|B|T,THUMB,10000,,1579194150516,Thu Jan 16 2020 17:02:30 GMT+0000 (Greenwich Mean Time),THBMU,user,trials,
