post_0_trial_start_ms,item,max_time,shuffle_1,text,trial type,cue,answer,starting_time_limit,,post_0_trial_end_ms,post_0_trial_end_date,response,max time,shuffle 1,repeat
,,,,,,,,,,,,,,,
1579193260170,0,,off,,start_experiment,O|U|R|P|G,GROUP,5000,,1579193262657,Thu Jan 16 2020 16:47:42 GMT+0000 (Greenwich Mean Time),,,,
1579193262666,2,,,Click on the letters to put them in the correct order,anagram_speedy,E|C|R|K|W,WRECK,5000,,1579193267685,Thu Jan 16 2020 16:47:47 GMT+0000 (Greenwich Mean Time),EKRWC,user,off,
