post_0_trial_start_ms,item,max_time,shuffle_1,text,trial type,cue,answer,starting_time_limit,,post_0_trial_end_ms,post_0_trial_end_date,response,max time,shuffle 1,repeat
,,,,,,,,,,,,,,,
1579196449146,0,,off,,start_experiment,O|U|R|P|G,GROUP,10000,,1579196450563,Thu Jan 16 2020 17:40:50 GMT+0000 (Greenwich Mean Time),,,,
1579196450570,3,,,Click on the letters to put them in the correct order,anagram_speedy,U|M|H|B|T,THUMB,10000,,1579196454569,Thu Jan 16 2020 17:40:54 GMT+0000 (Greenwich Mean Time),THUMB,user,trials,
1579196454577,2,,,Click on the letters to put them in the correct order,anagram_speedy,E|C|R|K|W,WRECK,10000,,1579196459408,Thu Jan 16 2020 17:40:59 GMT+0000 (Greenwich Mean Time),WRECK,user,trials,
