post_0_trial_start_ms,item,max_time,shuffle_1,text,trial type,cue,answer,starting_time_limit,reduce_time,,post_0_trial_end_ms,post_0_trial_end_date,response,max time,shuffle 1,repeat
,,,,,,,,,,,,,,,,
1579196513725,0,,off,,start_experiment,O|U|R|P|G,GROUP,10000,500,,1579196516336,Thu Jan 16 2020 17:41:56 GMT+0000 (Greenwich Mean Time),,,,
1579196516343,8,,,Click on the letters to put them in the correct order,anagram_speedy,A|N|R|T|G,GRANT,10000,500,,1579196520073,Thu Jan 16 2020 17:42:00 GMT+0000 (Greenwich Mean Time),GRANT,user,trials,
1579196520081,3,,,Click on the letters to put them in the correct order,anagram_speedy,U|M|H|B|T,THUMB,10000,500,,1579196524988,Thu Jan 16 2020 17:42:04 GMT+0000 (Greenwich Mean Time),THUMB,user,trials,
