post_0_trial_start_ms,item,max_time,shuffle_1,text,trial type,cue,answer,starting_time_limit,,post_0_trial_end_ms,post_0_trial_end_date,response,max time,shuffle 1,repeat
,,,,,,,,,,,,,,,
1579194053218,0,,off,,start_experiment,O|U|R|P|G,GROUP,10000,,1579194054853,Thu Jan 16 2020 17:00:54 GMT+0000 (Greenwich Mean Time),,,,
1579194054860,3,,,Click on the letters to put them in the correct order,anagram_speedy,U|M|H|B|T,THUMB,10000,,1579194064878,Thu Jan 16 2020 17:01:04 GMT+0000 (Greenwich Mean Time),THMB,user,trials,
1579194064887,2,,,Click on the letters to put them in the correct order,anagram_speedy,E|C|R|K|W,WRECK,10000,,1579194073422,Thu Jan 16 2020 17:01:13 GMT+0000 (Greenwich Mean Time),WRECK,user,trials,
