post_0_trial_start_ms,item,max_time,shuffle_1,text,trial type,cue,answer,starting_time_limit,,post_0_trial_end_ms,post_0_trial_end_date,response,max time,shuffle 1,repeat
,,,,,,,,,,,,,,,
1579193840321,0,,off,,start_experiment,O|U|R|P|G,GROUP,10000,,1579193843555,Thu Jan 16 2020 16:57:23 GMT+0000 (Greenwich Mean Time),,,,
1579193843562,3,,,Click on the letters to put them in the correct order,anagram_speedy,U|M|H|B|T,THUMB,10000,,1579193853579,Thu Jan 16 2020 16:57:33 GMT+0000 (Greenwich Mean Time),No Response,user,trials,
1579193853590,2,,,Click on the letters to put them in the correct order,anagram_speedy,E|C|R|K|W,WRECK,10000,,1579193863615,Thu Jan 16 2020 16:57:43 GMT+0000 (Greenwich Mean Time),No Response,user,trials,
