post_0_trial_start_ms,item,max_time,shuffle_1,text,trial type,cue,answer,starting_time_limit,,post_0_trial_end_ms,post_0_trial_end_date,response,test,max time,shuffle 1,repeat
,,,,,,,,,,,,,,,,
1579194724934,0,,off,,start_experiment,O|U|R|P|G,GROUP,10000,,1579194728890,Thu Jan 16 2020 17:12:08 GMT+0000 (Greenwich Mean Time),,,,,
1579194728899,3,,,Click on the letters to put them in the correct order,anagram_speedy,U|M|H|B|T,THUMB,10000,,1579194734450,Thu Jan 16 2020 17:12:14 GMT+0000 (Greenwich Mean Time),THUMB,,user,trials,
